,id,name,absolute_magnitude_h,estimated_diameter,close_approach_data
0,2302169,302169 (2001 TD45),20.0,594.3468684194,Earth
1,2469219,469219 Kamo`oalewa (2016 HO3),24.33,80.917038355,Earth
2,3172332,(2004 BV18),25.9,39.2681081809,Earth
3,3180147,(2004 HQ1),23.47,120.23751136,Earth
4,3395959,(2007 WQ3),21.16,348.36938254,Earth
5,3516487,(2010 GN67),22.18,217.7910249632,Earth
6,3837784,(2019 AR8),25.61,44.8786700881,Earth
7,3841756,(2019 JN2),25.65,44.0595420444,Earth
8,54049794,(2020 OY4),30.35,5.058712276,Earth
9,54087440,(2020 VY),25.0,59.4346868419,Earth
10,54203006,(2021 SZ4),20.47,478.6741544192,Earth
11,54248798,(2022 EB),26.71,27.0420728718,Earth
12,54320729,(2022 UN11),27.18,21.7791024963,Earth
13,54322245,(2022 UP20),25.39,49.6638037128,Earth
14,54385809,(2023 SO3),20.87,398.1438198091,Earth
15,54392207,(2023 TC4),21.53,293.7920088369,Earth
16,54392661,(2023 TH7),23.33,128.2448632429,Earth
17,54392931,(2023 TR7),25.32,51.2908597378,Earth
18,54393696,(2023 TG14),25.83,40.5545866065,Earth
19,54397126,(2023 UJ2),24.36,79.8068149676,Earth
20,54397146,(2023 UD3),19.42,776.3185769818,Earth
21,54402653,(2023 VN2),26.61,28.3165265026,Earth
22,54402970,(2023 VQ2),26.42,30.905799213,Earth
23,54403820,(2023 VD5),24.61,71.1278987093,Earth
24,54406497,(2023 WR),25.27,52.4855773378,Earth
25,54433327,(2024 GZ1),26.88,25.0057554041,Earth
